condition,generated_file,clean_reference,pixel_agreement,prediction_iou,distribution_shift,robustness_drop
occlusion_medium,0003_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304912404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304912404.jpg,0.6428395833333334,0.3482515770186554,0.5407222222222224,0.6517484229813446
occlusion_medium,0004_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305412404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305412404.jpg,0.6043819444444445,0.32350757807838004,0.5652833333333334,0.67649242192162
occlusion_medium,0005_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305912404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305912404.jpg,0.6323013888888889,0.35470614416626844,0.5402750000000001,0.6452938558337316
occlusion_medium,0006_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306412404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306412404.jpg,0.64723125,0.3327210453851493,0.5014930555555556,0.6672789546148508
occlusion_medium,0007_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306912404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306912404.jpg,0.6326173611111111,0.31432065235305495,0.5323333333333333,0.685679347646945
occlusion_medium,0008_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307412404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307412404.jpg,0.6327097222222222,0.2917114747585904,0.5382041666666667,0.7082885252414096
occlusion_medium,0009_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307912404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307912404.jpg,0.6099034722222222,0.317220870713802,0.5858013888888888,0.682779129286198
occlusion_medium,0010_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489308362404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489308362404.jpg,0.6211555555555556,0.3743595856148469,0.6030375000000001,0.625640414385153
occlusion_medium,0011_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489308862404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489308862404.jpg,0.6263034722222223,0.35008938441353393,0.5545125,0.649910615586466
occlusion_medium,0012_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489309362404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489309362404.jpg,0.6407791666666667,0.3260997115442394,0.47624722222222216,0.6739002884557606
